Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","356","India","5610","Import quantity","01371","Almonds, in shell","2022","2022","t","233745.98","A","Official value",""
"TCL","Crops and livestock products","356","India","5622","Import value","01371","Almonds, in shell","2022","2022","1000 USD","967648","A","Official value",""
"TCL","Crops and livestock products","356","India","5910","Export quantity","01371","Almonds, in shell","2022","2022","t","316.64","A","Official value",""
"TCL","Crops and livestock products","356","India","5922","Export value","01371","Almonds, in shell","2022","2022","1000 USD","1610","A","Official value",""
"TCL","Crops and livestock products","356","India","5610","Import quantity","01371","Almonds, in shell","2023","2023","t","259744.07","A","Official value",""
"TCL","Crops and livestock products","356","India","5622","Import value","01371","Almonds, in shell","2023","2023","1000 USD","937912","A","Official value",""
"TCL","Crops and livestock products","356","India","5910","Export quantity","01371","Almonds, in shell","2023","2023","t","117.11","A","Official value",""
"TCL","Crops and livestock products","356","India","5922","Export value","01371","Almonds, in shell","2023","2023","1000 USD","835","A","Official value",""
"TCL","Crops and livestock products","356","India","5610","Import quantity","01371","Almonds, in shell","2024","2024","t","269521.82","A","Official value",""
"TCL","Crops and livestock products","356","India","5622","Import value","01371","Almonds, in shell","2024","2024","1000 USD","1002045","A","Official value",""
"TCL","Crops and livestock products","356","India","5910","Export quantity","01371","Almonds, in shell","2024","2024","t","89.03","A","Official value",""
"TCL","Crops and livestock products","356","India","5922","Export value","01371","Almonds, in shell","2024","2024","1000 USD","860","A","Official value",""
"TCL","Crops and livestock products","356","India","5610","Import quantity","21422","Almonds, shelled","2022","2022","t","6810.45","A","Official value",""
"TCL","Crops and livestock products","356","India","5622","Import value","21422","Almonds, shelled","2022","2022","1000 USD","52096","A","Official value",""
"TCL","Crops and livestock products","356","India","5910","Export quantity","21422","Almonds, shelled","2022","2022","t","473.12","A","Official value",""
"TCL","Crops and livestock products","356","India","5922","Export value","21422","Almonds, shelled","2022","2022","1000 USD","3023","A","Official value",""
"TCL","Crops and livestock products","356","India","5610","Import quantity","21422","Almonds, shelled","2023","2023","t","12159.62","A","Official value",""
"TCL","Crops and livestock products","356","India","5622","Import value","21422","Almonds, shelled","2023","2023","1000 USD","81603","A","Official value",""
"TCL","Crops and livestock products","356","India","5910","Export quantity","21422","Almonds, shelled","2023","2023","t","112.51","A","Official value",""
"TCL","Crops and livestock products","356","India","5922","Export value","21422","Almonds, shelled","2023","2023","1000 USD","917","A","Official value",""
"TCL","Crops and livestock products","356","India","5610","Import quantity","21422","Almonds, shelled","2024","2024","t","13206.98","A","Official value",""
"TCL","Crops and livestock products","356","India","5622","Import value","21422","Almonds, shelled","2024","2024","1000 USD","83942","A","Official value",""
"TCL","Crops and livestock products","356","India","5910","Export quantity","21422","Almonds, shelled","2024","2024","t","239.83","A","Official value",""
"TCL","Crops and livestock products","356","India","5922","Export value","21422","Almonds, shelled","2024","2024","1000 USD","1815","A","Official value",""
"TCL","Crops and livestock products","356","India","5910","Export quantity","21529.03","Animal oils and fats n.e.c.","2022","2022","t","0.03","A","Official value",""
"TCL","Crops and livestock products","356","India","5922","Export value","21529.03","Animal oils and fats n.e.c.","2022","2022","1000 USD","3","A","Official value",""
"TCL","Crops and livestock products","356","India","5610","Import quantity","21529.03","Animal oils and fats n.e.c.","2023","2023","t","0","A","Official value",""
"TCL","Crops and livestock products","356","India","5622","Import value","21529.03","Animal oils and fats n.e.c.","2023","2023","1000 USD","0","A","Official value",""
"TCL","Crops and livestock products","356","India","5910","Export quantity","21529.03","Animal oils and fats n.e.c.","2023","2023","t","1.31","A","Official value",""
"TCL","Crops and livestock products","356","India","5922","Export value","21529.03","Animal oils and fats n.e.c.","2023","2023","1000 USD","5","A","Official value",""
"TCL","Crops and livestock products","356","India","5610","Import quantity","21529.03","Animal oils and fats n.e.c.","2024","2024","t","0.03","A","Official value",""
"TCL","Crops and livestock products","356","India","5622","Import value","21529.03","Animal oils and fats n.e.c.","2024","2024","1000 USD","0","A","Official value",""
"TCL","Crops and livestock products","356","India","5910","Export quantity","21529.03","Animal oils and fats n.e.c.","2024","2024","t","3.23","A","Official value",""
"TCL","Crops and livestock products","356","India","5922","Export value","21529.03","Animal oils and fats n.e.c.","2024","2024","1000 USD","21","A","Official value",""
"TCL","Crops and livestock products","356","India","5610","Import quantity","34550","Animal or vegetable fats and oils and their fractions, chemically modified, except those hydrogenated, inter-esterified, re-esterified or elaidinized; inedible mixtures or preparations of animal or vegetable fats or oils","2022","2022","t","749.11","A","Official value",""
"TCL","Crops and livestock products","356","India","5622","Import value","34550","Animal or vegetable fats and oils and their fractions, chemically modified, except those hydrogenated, inter-esterified, re-esterified or elaidinized; inedible mixtures or preparations of animal or vegetable fats or oils","2022","2022","1000 USD","3038","A","Official value",""
"TCL","Crops and livestock products","356","India","5910","Export quantity","34550","Animal or vegetable fats and oils and their fractions, chemically modified, except those hydrogenated, inter-esterified, re-esterified or elaidinized; inedible mixtures or preparations of animal or vegetable fats or oils","2022","2022","t","11411.37","A","Official value",""
"TCL","Crops and livestock products","356","India","5922","Export value","34550","Animal or vegetable fats and oils and their fractions, chemically modified, except those hydrogenated, inter-esterified, re-esterified or elaidinized; inedible mixtures or preparations of animal or vegetable fats or oils","2022","2022","1000 USD","23992","A","Official value",""
"TCL","Crops and livestock products","356","India","5610","Import quantity","34550","Animal or vegetable fats and oils and their fractions, chemically modified, except those hydrogenated, inter-esterified, re-esterified or elaidinized; inedible mixtures or preparations of animal or vegetable fats or oils","2023","2023","t","283.36","A","Official value",""
"TCL","Crops and livestock products","356","India","5622","Import value","34550","Animal or vegetable fats and oils and their fractions, chemically modified, except those hydrogenated, inter-esterified, re-esterified or elaidinized; inedible mixtures or preparations of animal or vegetable fats or oils","2023","2023","1000 USD","1411","A","Official value",""
"TCL","Crops and livestock products","356","India","5910","Export quantity","34550","Animal or vegetable fats and oils and their fractions, chemically modified, except those hydrogenated, inter-esterified, re-esterified or elaidinized; inedible mixtures or preparations of animal or vegetable fats or oils","2023","2023","t","30825.33","A","Official value",""
"TCL","Crops and livestock products","356","India","5922","Export value","34550","Animal or vegetable fats and oils and their fractions, chemically modified, except those hydrogenated, inter-esterified, re-esterified or elaidinized; inedible mixtures or preparations of animal or vegetable fats or oils","2023","2023","1000 USD","47677","A","Official value",""
"TCL","Crops and livestock products","356","India","5610","Import quantity","34550","Animal or vegetable fats and oils and their fractions, chemically modified, except those hydrogenated, inter-esterified, re-esterified or elaidinized; inedible mixtures or preparations of animal or vegetable fats or oils","2024","2024","t","1069.65","A","Official value",""
"TCL","Crops and livestock products","356","India","5622","Import value","34550","Animal or vegetable fats and oils and their fractions, chemically modified, except those hydrogenated, inter-esterified, re-esterified or elaidinized; inedible mixtures or preparations of animal or vegetable fats or oils","2024","2024","1000 USD","2088","A","Official value",""
"TCL","Crops and livestock products","356","India","5910","Export quantity","34550","Animal or vegetable fats and oils and their fractions, chemically modified, except those hydrogenated, inter-esterified, re-esterified or elaidinized; inedible mixtures or preparations of animal or vegetable fats or oils","2024","2024","t","24722.91","A","Official value",""
"TCL","Crops and livestock products","356","India","5922","Export value","34550","Animal or vegetable fats and oils and their fractions, chemically modified, except those hydrogenated, inter-esterified, re-esterified or elaidinized; inedible mixtures or preparations of animal or vegetable fats or oils","2024","2024","1000 USD","41288","A","Official value",""
"TCL","Crops and livestock products","356","India","5610","Import quantity","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2022","2022","t","55436.82","A","Official value",""
"TCL","Crops and livestock products","356","India","5622","Import value","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2022","2022","1000 USD","118306","A","Official value",""
"TCL","Crops and livestock products","356","India","5910","Export quantity","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2022","2022","t","256113.61","A","Official value",""
"TCL","Crops and livestock products","356","India","5922","Export value","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2022","2022","1000 USD","609550","A","Official value",""
"TCL","Crops and livestock products","356","India","5610","Import quantity","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2023","2023","t","70922.16","A","Official value",""
"TCL","Crops and livestock products","356","India","5622","Import value","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2023","2023","1000 USD","208775","A","Official value",""
"TCL","Crops and livestock products","356","India","5910","Export quantity","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2023","2023","t","293735.03","A","Official value",""
"TCL","Crops and livestock products","356","India","5922","Export value","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2023","2023","1000 USD","812132","A","Official value",""
"TCL","Crops and livestock products","356","India","5610","Import quantity","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2024","2024","t","36154.6","A","Official value",""
"TCL","Crops and livestock products","356","India","5622","Import value","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2024","2024","1000 USD","96933","A","Official value",""
"TCL","Crops and livestock products","356","India","5910","Export quantity","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2024","2024","t","377393.4","A","Official value",""
"TCL","Crops and livestock products","356","India","5922","Export value","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2024","2024","1000 USD","955219","A","Official value",""
"TCL","Crops and livestock products","356","India","5610","Import quantity","21435.01","Apple juice","2022","2022","t","38.46","A","Official value",""
"TCL","Crops and livestock products","356","India","5622","Import value","21435.01","Apple juice","2022","2022","1000 USD","35","A","Official value",""
"TCL","Crops and livestock products","356","India","5910","Export quantity","21435.01","Apple juice","2022","2022","t","2.51","A","Official value",""
"TCL","Crops and livestock products","356","India","5922","Export value","21435.01","Apple juice","2022","2022","1000 USD","1","A","Official value",""
"TCL","Crops and livestock products","356","India","5610","Import quantity","21435.01","Apple juice","2023","2023","t","81.02","A","Official value",""
"TCL","Crops and livestock products","356","India","5622","Import value","21435.01","Apple juice","2023","2023","1000 USD","101","A","Official value",""
"TCL","Crops and livestock products","356","India","5910","Export quantity","21435.01","Apple juice","2023","2023","t","15.33","A","Official value",""
"TCL","Crops and livestock products","356","India","5922","Export value","21435.01","Apple juice","2023","2023","1000 USD","12","A","Official value",""
"TCL","Crops and livestock products","356","India","5610","Import quantity","21435.01","Apple juice","2024","2024","t","113.11","A","Official value",""
"TCL","Crops and livestock products","356","India","5622","Import value","21435.01","Apple juice","2024","2024","1000 USD","125","A","Official value",""
"TCL","Crops and livestock products","356","India","5910","Export quantity","21435.01","Apple juice","2024","2024","t","32.85","A","Official value",""
"TCL","Crops and livestock products","356","India","5922","Export value","21435.01","Apple juice","2024","2024","1000 USD","37","A","Official value",""
"TCL","Crops and livestock products","356","India","5610","Import quantity","21435.02","Apple juice, concentrated","2022","2022","t","10006.46","A","Official value",""
"TCL","Crops and livestock products","356","India","5622","Import value","21435.02","Apple juice, concentrated","2022","2022","1000 USD","11180","A","Official value",""
"TCL","Crops and livestock products","356","India","5910","Export quantity","21435.02","Apple juice, concentrated","2022","2022","t","106.45","A","Official value",""
"TCL","Crops and livestock products","356","India","5922","Export value","21435.02","Apple juice, concentrated","2022","2022","1000 USD","215","A","Official value",""
"TCL","Crops and livestock products","356","India","5610","Import quantity","21435.02","Apple juice, concentrated","2023","2023","t","1701.75","A","Official value",""
"TCL","Crops and livestock products","356","India","5622","Import value","21435.02","Apple juice, concentrated","2023","2023","1000 USD","2508","A","Official value",""
"TCL","Crops and livestock products","356","India","5910","Export quantity","21435.02","Apple juice, concentrated","2023","2023","t","116.63","A","Official value",""
"TCL","Crops and livestock products","356","India","5922","Export value","21435.02","Apple juice, concentrated","2023","2023","1000 USD","251","A","Official value",""
"TCL","Crops and livestock products","356","India","5610","Import quantity","21435.02","Apple juice, concentrated","2024","2024","t","1900.03","A","Official value",""
"TCL","Crops and livestock products","356","India","5622","Import value","21435.02","Apple juice, concentrated","2024","2024","1000 USD","2838","A","Official value",""
"TCL","Crops and livestock products","356","India","5910","Export quantity","21435.02","Apple juice, concentrated","2024","2024","t","313.83","A","Official value",""
"TCL","Crops and livestock products","356","India","5922","Export value","21435.02","Apple juice, concentrated","2024","2024","1000 USD","557","A","Official value",""
"TCL","Crops and livestock products","356","India","5610","Import quantity","01341","Apples","2022","2022","t","392482.87","A","Official value",""
"TCL","Crops and livestock products","356","India","5622","Import value","01341","Apples","2022","2022","1000 USD","314345","A","Official value",""
"TCL","Crops and livestock products","356","India","5910","Export quantity","01341","Apples","2022","2022","t","52892.12","A","Official value",""
"TCL","Crops and livestock products","356","India","5922","Export value","01341","Apples","2022","2022","1000 USD","21346","A","Official value",""
"TCL","Crops and livestock products","356","India","5610","Import quantity","01341","Apples","2023","2023","t","469550.49","A","Official value",""
"TCL","Crops and livestock products","356","India","5622","Import value","01341","Apples","2023","2023","1000 USD","363053","A","Official value",""
"TCL","Crops and livestock products","356","India","5910","Export quantity","01341","Apples","2023","2023","t","22337.96","A","Official value",""
"TCL","Crops and livestock products","356","India","5922","Export value","01341","Apples","2023","2023","1000 USD","9503","A","Official value",""
"TCL","Crops and livestock products","356","India","5610","Import quantity","01341","Apples","2024","2024","t","519651.99","A","Official value",""
"TCL","Crops and livestock products","356","India","5622","Import value","01341","Apples","2024","2024","1000 USD","417558","A","Official value",""
"TCL","Crops and livestock products","356","India","5910","Export quantity","01341","Apples","2024","2024","t","32874.3","A","Official value",""
"TCL","Crops and livestock products","356","India","5922","Export value","01341","Apples","2024","2024","1000 USD","13045","A","Official value",""
"TCL","Crops and livestock products","356","India","5610","Import quantity","01343","Apricots","2022","2022","t","759.41","A","Official value",""
"TCL","Crops and livestock products","356","India","5622","Import value","01343","Apricots","2022","2022","1000 USD","1560","A","Official value",""
"TCL","Crops and livestock products","356","India","5910","Export quantity","01343","Apricots","2022","2022","t","1.86","A","Official value",""
"TCL","Crops and livestock products","356","India","5922","Export value","01343","Apricots","2022","2022","1000 USD","3","A","Official value",""
"TCL","Crops and livestock products","356","India","5610","Import quantity","01343","Apricots","2023","2023","t","1639.85","A","Official value",""
"TCL","Crops and livestock products","356","India","5622","Import value","01343","Apricots","2023","2023","1000 USD","3293","A","Official value",""
"TCL","Crops and livestock products","356","India","5910","Export quantity","01343","Apricots","2023","2023","t","1.47","A","Official value",""
"TCL","Crops and livestock products","356","India","5922","Export value","01343","Apricots","2023","2023","1000 USD","9","A","Official value",""
"TCL","Crops and livestock products","356","India","5610","Import quantity","01343","Apricots","2024","2024","t","1105.16","A","Official value",""
"TCL","Crops and livestock products","356","India","5622","Import value","01343","Apricots","2024","2024","1000 USD","2197","A","Official value",""
"TCL","Crops and livestock products","356","India","5910","Export quantity","01343","Apricots","2024","2024","t","0.78","A","Official value",""
"TCL","Crops and livestock products","356","India","5922","Export value","01343","Apricots","2024","2024","1000 USD","4","A","Official value",""
"TCL","Crops and livestock products","356","India","5610","Import quantity","21419.01","Apricots, dried","2022","2022","t","5649.19","A","Official value",""
"TCL","Crops and livestock products","356","India","5622","Import value","21419.01","Apricots, dried","2022","2022","1000 USD","17066","A","Official value",""
"TCL","Crops and livestock products","356","India","5910","Export quantity","21419.01","Apricots, dried","2022","2022","t","71.42","A","Official value",""
"TCL","Crops and livestock products","356","India","5922","Export value","21419.01","Apricots, dried","2022","2022","1000 USD","331","A","Official value",""
"TCL","Crops and livestock products","356","India","5610","Import quantity","21419.01","Apricots, dried","2023","2023","t","6085.3","A","Official value",""
"TCL","Crops and livestock products","356","India","5622","Import value","21419.01","Apricots, dried","2023","2023","1000 USD","17608","A","Official value",""
"TCL","Crops and livestock products","356","India","5910","Export quantity","21419.01","Apricots, dried","2023","2023","t","94.72","A","Official value",""
"TCL","Crops and livestock products","356","India","5922","Export value","21419.01","Apricots, dried","2023","2023","1000 USD","367","A","Official value",""
"TCL","Crops and livestock products","356","India","5610","Import quantity","21419.01","Apricots, dried","2024","2024","t","5629.02","A","Official value",""
"TCL","Crops and livestock products","356","India","5622","Import value","21419.01","Apricots, dried","2024","2024","1000 USD","15665","A","Official value",""
"TCL","Crops and livestock products","356","India","5910","Export quantity","21419.01","Apricots, dried","2024","2024","t","86.54","A","Official value",""
"TCL","Crops and livestock products","356","India","5922","Export value","21419.01","Apricots, dried","2024","2024","1000 USD","427","A","Official value",""
"TCL","Crops and livestock products","356","India","5610","Import quantity","01379.01","Areca nuts","2022","2022","t","78842.22","A","Official value",""
"TCL","Crops and livestock products","356","India","5622","Import value","01379.01","Areca nuts","2022","2022","1000 USD","276415","A","Official value",""
"TCL","Crops and livestock products","356","India","5910","Export quantity","01379.01","Areca nuts","2022","2022","t","11805.59","A","Official value",""
"TCL","Crops and livestock products","356","India","5922","Export value","01379.01","Areca nuts","2022","2022","1000 USD","52436","A","Official value",""
"TCL","Crops and livestock products","356","India","5610","Import quantity","01379.01","Areca nuts","2023","2023","t","39297.68","A","Official value",""
"TCL","Crops and livestock products","356","India","5622","Import value","01379.01","Areca nuts","2023","2023","1000 USD","152278","A","Official value",""
"TCL","Crops and livestock products","356","India","5910","Export quantity","01379.01","Areca nuts","2023","2023","t","13652.49","A","Official value",""
"TCL","Crops and livestock products","356","India","5922","Export value","01379.01","Areca nuts","2023","2023","1000 USD","59194","A","Official value",""
"TCL","Crops and livestock products","356","India","5610","Import quantity","01379.01","Areca nuts","2024","2024","t","40918.56","A","Official value",""
"TCL","Crops and livestock products","356","India","5622","Import value","01379.01","Areca nuts","2024","2024","1000 USD","143270","A","Official value",""
"TCL","Crops and livestock products","356","India","5910","Export quantity","01379.01","Areca nuts","2024","2024","t","3307.4","A","Official value",""
"TCL","Crops and livestock products","356","India","5922","Export value","01379.01","Areca nuts","2024","2024","1000 USD","17478","A","Official value",""
"TCL","Crops and livestock products","356","India","5910","Export quantity","01216","Artichokes","2023","2023","t","0.07","A","Official value",""
"TCL","Crops and livestock products","356","India","5922","Export value","01216","Artichokes","2023","2023","1000 USD","0","A","Official value",""
"TCL","Crops and livestock products","356","India","5910","Export quantity","01216","Artichokes","2024","2024","t","0.05","A","Official value",""
"TCL","Crops and livestock products","356","India","5922","Export value","01216","Artichokes","2024","2024","1000 USD","0","A","Official value",""
"TCL","Crops and livestock products","356","India","5610","Import quantity","01211","Asparagus","2022","2022","t","220.52","A","Official value",""
"TCL","Crops and livestock products","356","India","5622","Import value","01211","Asparagus","2022","2022","1000 USD","1414","A","Official value",""
"TCL","Crops and livestock products","356","India","5910","Export quantity","01211","Asparagus","2022","2022","t","8.55","A","Official value",""
"TCL","Crops and livestock products","356","India","5922","Export value","01211","Asparagus","2022","2022","1000 USD","23","A","Official value",""
"TCL","Crops and livestock products","356","India","5610","Import quantity","01211","Asparagus","2023","2023","t","168.83","A","Official value",""
"TCL","Crops and livestock products","356","India","5622","Import value","01211","Asparagus","2023","2023","1000 USD","1144","A","Official value",""
"TCL","Crops and livestock products","356","India","5910","Export quantity","01211","Asparagus","2023","2023","t","0.41","A","Official value",""
"TCL","Crops and livestock products","356","India","5922","Export value","01211","Asparagus","2023","2023","1000 USD","1","A","Official value",""
"TCL","Crops and livestock products","356","India","5610","Import quantity","01211","Asparagus","2024","2024","t","98.71","A","Official value",""
"TCL","Crops and livestock products","356","India","5622","Import value","01211","Asparagus","2024","2024","1000 USD","536","A","Official value",""
"TCL","Crops and livestock products","356","India","5910","Export quantity","01211","Asparagus","2024","2024","t","0.84","A","Official value",""
"TCL","Crops and livestock products","356","India","5922","Export value","01211","Asparagus","2024","2024","1000 USD","4","A","Official value",""
"TCL","Crops and livestock products","356","India","5608","Import quantity","02132","Asses","2023","2023","An","1","A","Official value",""
"TCL","Crops and livestock products","356","India","5622","Import value","02132","Asses","2023","2023","1000 USD","0","A","Official value",""
"TCL","Crops and livestock products","356","India","5610","Import quantity","01311","Avocados","2022","2022","t","2200.29","A","Official value",""
"TCL","Crops and livestock products","356","India","5622","Import value","01311","Avocados","2022","2022","1000 USD","6364","A","Official value",""
"TCL","Crops and livestock products","356","India","5910","Export quantity","01311","Avocados","2022","2022","t","24.09","A","Official value",""
"TCL","Crops and livestock products","356","India","5922","Export value","01311","Avocados","2022","2022","1000 USD","52","A","Official value",""
"TCL","Crops and livestock products","356","India","5610","Import quantity","01311","Avocados","2023","2023","t","3931.18","A","Official value",""
"TCL","Crops and livestock products","356","India","5622","Import value","01311","Avocados","2023","2023","1000 USD","10438","A","Official value",""
"TCL","Crops and livestock products","356","India","5910","Export quantity","01311","Avocados","2023","2023","t","14.78","A","Official value",""
"TCL","Crops and livestock products","356","India","5922","Export value","01311","Avocados","2023","2023","1000 USD","48","A","Official value",""
"TCL","Crops and livestock products","356","India","5610","Import quantity","01311","Avocados","2024","2024","t","9221.85","A","Official value",""
"TCL","Crops and livestock products","356","India","5622","Import value","01311","Avocados","2024","2024","1000 USD","22389","A","Official value",""
"TCL","Crops and livestock products","356","India","5910","Export quantity","01311","Avocados","2024","2024","t","19.86","A","Official value",""
"TCL","Crops and livestock products","356","India","5922","Export value","01311","Avocados","2024","2024","1000 USD","67","A","Official value",""
"TCL","Crops and livestock products","356","India","5610","Import quantity","39141","Bagasse","2022","2022","t","4.05","A","Official value",""
"TCL","Crops and livestock products","356","India","5622","Import value","39141","Bagasse","2022","2022","1000 USD","15","A","Official value",""
"TCL","Crops and livestock products","356","India","5910","Export quantity","39141","Bagasse","2022","2022","t","16864.35","A","Official value",""
"TCL","Crops and livestock products","356","India","5922","Export value","39141","Bagasse","2022","2022","1000 USD","896","A","Official value",""
"TCL","Crops and livestock products","356","India","5610","Import quantity","39141","Bagasse","2023","2023","t","2170.21","A","Official value",""
"TCL","Crops and livestock products","356","India","5622","Import value","39141","Bagasse","2023","2023","1000 USD","99","A","Official value",""
"TCL","Crops and livestock products","356","India","5910","Export quantity","39141","Bagasse","2023","2023","t","30519.62","A","Official value",""
"TCL","Crops and livestock products","356","India","5922","Export value","39141","Bagasse","2023","2023","1000 USD","1492","A","Official value",""
"TCL","Crops and livestock products","356","India","5610","Import quantity","39141","Bagasse","2024","2024","t","12894.4","A","Official value",""
"TCL","Crops and livestock products","356","India","5622","Import value","39141","Bagasse","2024","2024","1000 USD","161","A","Official value",""
"TCL","Crops and livestock products","356","India","5910","Export quantity","39141","Bagasse","2024","2024","t","10468.36","A","Official value",""
"TCL","Crops and livestock products","356","India","5922","Export value","39141","Bagasse","2024","2024","1000 USD","542","A","Official value",""
"TCL","Crops and livestock products","356","India","5610","Import quantity","03211","Balata, gutta-percha, guayule, chicle and similar natural gums in primary forms or in plates, sheets or strip","2022","2022","t","2447.68","A","Official value",""
"TCL","Crops and livestock products","356","India","5622","Import value","03211","Balata, gutta-percha, guayule, chicle and similar natural gums in primary forms or in plates, sheets or strip","2022","2022","1000 USD","208","A","Official value",""
"TCL","Crops and livestock products","356","India","5910","Export quantity","03211","Balata, gutta-percha, guayule, chicle and similar natural gums in primary forms or in plates, sheets or strip","2022","2022","t","0.23","A","Official value",""
"TCL","Crops and livestock products","356","India","5922","Export value","03211","Balata, gutta-percha, guayule, chicle and similar natural gums in primary forms or in plates, sheets or strip","2022","2022","1000 USD","1","A","Official value",""
"TCL","Crops and livestock products","356","India","5610","Import quantity","03211","Balata, gutta-percha, guayule, chicle and similar natural gums in primary forms or in plates, sheets or strip","2023","2023","t","1.44","A","Official value",""
"TCL","Crops and livestock products","356","India","5622","Import value","03211","Balata, gutta-percha, guayule, chicle and similar natural gums in primary forms or in plates, sheets or strip","2023","2023","1000 USD","137","A","Official value",""
"TCL","Crops and livestock products","356","India","5910","Export quantity","03211","Balata, gutta-percha, guayule, chicle and similar natural gums in primary forms or in plates, sheets or strip","2023","2023","t","56.22","A","Official value",""
"TCL","Crops and livestock products","356","India","5922","Export value","03211","Balata, gutta-percha, guayule, chicle and similar natural gums in primary forms or in plates, sheets or strip","2023","2023","1000 USD","122","A","Official value",""
"TCL","Crops and livestock products","356","India","5610","Import quantity","03211","Balata, gutta-percha, guayule, chicle and similar natural gums in primary forms or in plates, sheets or strip","2024","2024","t","2.08","A","Official value",""
"TCL","Crops and livestock products","356","India","5622","Import value","03211","Balata, gutta-percha, guayule, chicle and similar natural gums in primary forms or in plates, sheets or strip","2024","2024","1000 USD","87","A","Official value",""
"TCL","Crops and livestock products","356","India","5910","Export quantity","03211","Balata, gutta-percha, guayule, chicle and similar natural gums in primary forms or in plates, sheets or strip","2024","2024","t","53.1","A","Official value",""
"TCL","Crops and livestock products","356","India","5922","Export value","03211","Balata, gutta-percha, guayule, chicle and similar natural gums in primary forms or in plates, sheets or strip","2024","2024","1000 USD","87","A","Official value",""
"TCL","Crops and livestock products","356","India","5610","Import quantity","01708","Bambara beans, dry","2022","2022","t","120.16","A","Official value",""
"TCL","Crops and livestock products","356","India","5622","Import value","01708","Bambara beans, dry","2022","2022","1000 USD","213","A","Official value",""
"TCL","Crops and livestock products","356","India","5910","Export quantity","01708","Bambara beans, dry","2022","2022","t","25.15","A","Official value",""
"TCL","Crops and livestock products","356","India","5922","Export value","01708","Bambara beans, dry","2022","2022","1000 USD","17","A","Official value",""
"TCL","Crops and livestock products","356","India","5610","Import quantity","01708","Bambara beans, dry","2023","2023","t","51","A","Official value",""
"TCL","Crops and livestock products","356","India","5622","Import value","01708","Bambara beans, dry","2023","2023","1000 USD","71","A","Official value",""
"TCL","Crops and livestock products","356","India","5910","Export quantity","01708","Bambara beans, dry","2023","2023","t","23.66","A","Official value",""
"TCL","Crops and livestock products","356","India","5922","Export value","01708","Bambara beans, dry","2023","2023","1000 USD","31","A","Official value",""
"TCL","Crops and livestock products","356","India","5610","Import quantity","01708","Bambara beans, dry","2024","2024","t","162.74","A","Official value",""
"TCL","Crops and livestock products","356","India","5622","Import value","01708","Bambara beans, dry","2024","2024","1000 USD","180","A","Official value",""
"TCL","Crops and livestock products","356","India","5910","Export quantity","01708","Bambara beans, dry","2024","2024","t","5","A","Official value",""
"TCL","Crops and livestock products","356","India","5922","Export value","01708","Bambara beans, dry","2024","2024","1000 USD","8","A","Official value",""
"TCL","Crops and livestock products","356","India","5910","Export quantity","01312","Bananas","2022","2022","t","362364.1","A","Official value",""
"TCL","Crops and livestock products","356","India","5922","Export value","01312","Bananas","2022","2022","1000 USD","161808","A","Official value",""
"TCL","Crops and livestock products","356","India","5610","Import quantity","01312","Bananas","2023","2023","t","0.07","A","Official value",""
"TCL","Crops and livestock products","356","India","5622","Import value","01312","Bananas","2023","2023","1000 USD","0","A","Official value",""
"TCL","Crops and livestock products","356","India","5910","Export quantity","01312","Bananas","2023","2023","t","499131.23","A","Official value",""
"TCL","Crops and livestock products","356","India","5922","Export value","01312","Bananas","2023","2023","1000 USD","250674","A","Official value",""
"TCL","Crops and livestock products","356","India","5910","Export quantity","01312","Bananas","2024","2024","t","763863.64","A","Official value",""
"TCL","Crops and livestock products","356","India","5922","Export value","01312","Bananas","2024","2024","1000 USD","352921","A","Official value",""
"TCL","Crops and livestock products","356","India","5610","Import quantity","0115","Barley","2022","2022","t","167023.81","A","Official value",""
"TCL","Crops and livestock products","356","India","5622","Import value","0115","Barley","2022","2022","1000 USD","79536","A","Official value",""
"TCL","Crops and livestock products","356","India","5910","Export quantity","0115","Barley","2022","2022","t","2087.69","A","Official value",""
"TCL","Crops and livestock products","356","India","5922","Export value","0115","Barley","2022","2022","1000 USD","1148","A","Official value",""
"TCL","Crops and livestock products","356","India","5610","Import quantity","0115","Barley","2023","2023","t","185456.17","A","Official value",""
"TCL","Crops and livestock products","356","India","5622","Import value","0115","Barley","2023","2023","1000 USD","77687","A","Official value",""
"TCL","Crops and livestock products","356","India","5910","Export quantity","0115","Barley","2023","2023","t","7072.13","A","Official value",""
"TCL","Crops and livestock products","356","India","5922","Export value","0115","Barley","2023","2023","1000 USD","2767","A","Official value",""
